order_item_id	meta_key	meta_value
207	_fee_amount	-17.5
207	_last_added_fee	Discount for Direct Payment 5%
207	_line_tax	0
207	_line_tax_data	a:1:{s:5:"total";a:0:{}}
207	_line_total	-17.5
207	_tax_class	0
207	_tax_status	taxable
208	cost	55.00
208	instance_id	7
208	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
208	method_id	flat_rate
208	taxes	a:1:{s:5:"total";a:0:{}}
208	total_tax	0
215	_line_subtotal	695
215	_line_subtotal_tax	0
215	_line_tax	0
215	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
215	_line_total	545
215	_product_id	3382
215	_qty	1
215	_reduced_stock	1
215	_tax_class	
215	_variation_id	0
216	_fee_amount	-30
216	_last_added_fee	Discount for Direct Payment 5%
216	_line_tax	0
216	_line_tax_data	a:1:{s:5:"total";a:0:{}}
216	_line_total	-30
216	_tax_class	0
216	_tax_status	taxable
217	cost	55.00
217	instance_id	7
217	Items	USB 5V to 9V or 12v Cable Step Up Voltage Converter with LED Display Output jack 5.5x2.1mm &times; 1
217	method_id	flat_rate
217	taxes	a:1:{s:5:"total";a:0:{}}
217	total_tax	0
